lat,lon,city,state,address,elementary,middle,high,property_url
42.131868,-71.136137,Stoughton,MA,2 Hillwood Ave,Helen H Hansen,O'donnell Middle,Stoughton High,https://www.realtor.com/realestateandhomes-detail/2-Hillwood-Ave_Stoughton_MA_02072_M37919-54202
42.114839,-71.091054,Stoughton,MA,310 Sumner St,South Elementary,O'donnell,Stoughton High School,https://www.realtor.com/realestateandhomes-detail/310-Sumner-St_Stoughton_MA_02072_M45282-96331
42.103043,-71.12389,Stoughton,MA,54 Ross Ave,Gibbons,O'donnell,Stoughton High,https://www.realtor.com/realestateandhomes-detail/54-Ross-Ave_Stoughton_MA_02072_M48547-83254
42.121931,-71.105779,Stoughton,MA,68 Summer Ave Apt 8,Gibbons,O'donnell,Stoughton High School,https://www.realtor.com/realestateandhomes-detail/68-Summer-Ave-Apt-8_Stoughton_MA_02072_M37398-73718
42.13487,-71.134698,Stoughton,MA,84 Kim Ter Unit 84,Helen Hansen Ei,O'donnell Ms,Stoughton Hs,https://www.realtor.com/realestateandhomes-detail/84-Kim-Ter_Stoughton_MA_02072_M46677-78015
42.113308,-71.081458,Stoughton,MA,33 Alger Way,South,O'donnell,Stoughton High,https://www.realtor.com/realestateandhomes-detail/33-Alger-Way_Stoughton_MA_02072_M40326-47924
42.121389,-71.098544,Stoughton,MA,29 Wentworth Ave,Per Board Of Ed,Per Board Of Ed,Per Board Of Ed,https://www.realtor.com/realestateandhomes-detail/29-Wentworth-Ave_Stoughton_MA_02072_M43346-99761
42.1374,-71.142713,Stoughton,MA,20 Brian Dr Apt A,Hansen,O'donnell,Stoughton,https://www.realtor.com/realestateandhomes-detail/20-Brian-Dr-Apt-A_Stoughton_MA_02072_M30867-51512
42.104369,-71.130474,Stoughton,MA,140 Grace Ln,Gibbons,Stoughton Middle,Stoughton Sr,https://www.realtor.com/realestateandhomes-detail/140-Grace-Ln_Stoughton_MA_02072_M43928-93052
42.121049,-71.114239,Stoughton,MA,161 Winslow Dr,Gibbons,O'donnell,,https://www.realtor.com/realestateandhomes-detail/161-Winslow-Dr_Stoughton_MA_02072_M32838-46894
