lat,lon,city,state,address,level,mls_name,ncessch,nces_name,leaid,match_method
42.666099,-71.157194,Andover,MA,90 Lowell St,elementary,West,250195000051,West Elementary,2501950,best_match
42.669714,-71.170012,Andover,MA,9 Trevino Cir,elementary,West Elem,250195000051,West Elementary,2501950,best_match
42.673586,-71.159396,Andover,MA,54 William St,elementary,West Elementary,250195000051,West Elementary,2501950,best_match
42.631243,-71.168318,Andover,MA,3 Hazelwood Cir,elementary,Sanborn,250195000048,Henry C Sanborn Elementary,2501950,best_match
42.628861,-71.134647,Andover,MA,7 Cider Hill Way,elementary,South Elementary School,250195000050,South Elementary,2501950,best_match
42.634062,-71.144267,Andover,MA,184 Abbot St,elementary,South,250195000050,South Elementary,2501950,best_match
42.632582,-71.119576,Andover,MA,3 Blueberry Cir,elementary,Bancroft,250195000047,Bancroft Elementary,2501950,best_match
42.628634,-71.172008,Andover,MA,8 Buttonwood Dr,elementary,Sanborn,250195000048,Henry C Sanborn Elementary,2501950,best_match
42.633227,-71.172508,Andover,MA,15 Lovejoy Rd,elementary,Sanborn,250195000048,Henry C Sanborn Elementary,2501950,best_match
42.623183,-71.173707,Andover,MA,9 Waverly Dr,elementary,South,250195000050,South Elementary,2501950,best_match
42.678826,-71.15887,Andover,MA,17 Juliette St,elementary,West Elementary,250195000051,West Elementary,2501950,best_match
42.645652,-71.195681,Andover,MA,15 Geneva Rd,elementary,Sanborn,250195000048,Henry C Sanborn Elementary,2501950,best_match
42.663575,-71.182265,Andover,MA,159 High Plain Rd,elementary,West Elementary,250195000051,West Elementary,2501950,best_match
