lat,lon,city,state,address,elementary,middle,high,property_url
42.057104,-70.764369,Duxbury,MA,110 Keene St,Chandler/ Alden,,,https://www.realtor.com/realestateandhomes-detail/110-Keene-St_Duxbury_MA_02332_M46893-07764
42.013949,-70.708418,Duxbury,MA,6 Priscilla Rd,Chandler,,,https://www.realtor.com/realestateandhomes-detail/6-Priscilla-Rd_Duxbury_MA_02332_M46313-86646
42.016442,-70.675247,Duxbury,MA,8 Eagles Nest Rd,Chandler,,,https://www.realtor.com/realestateandhomes-detail/8-Eagles-Nest-Rd_Duxbury_MA_02332_M48231-84945
42.024246,-70.740958,Duxbury,MA,64 Trout Farm Ln,Chandler/Alden,Duxbury Middle School,Duxbury High School,https://www.realtor.com/realestateandhomes-detail/64-Trout-Farm-Ln_Duxbury_MA_02332_M49499-83032
42.043348,-70.755638,Duxbury,MA,600 Summer St Apt 6,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/600-Summer-St-Apt-6_Duxbury_MA_02332_M44537-79487
42.017188,-70.712865,Duxbury,MA,19 Flint Locke Dr,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/19-Flint-Locke-Dr_Duxbury_MA_02332_M48128-44364
42.021967,-70.748291,Duxbury,MA,15 Autumn Ave,Chandler,,,https://www.realtor.com/realestateandhomes-detail/15-Autumn-Ave_Duxbury_MA_02332_M37009-57158
42.022053,-70.753355,Duxbury,MA,65 Hitty Tom Rd,,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/65-Hitty-Tom-Rd_Duxbury_MA_02332_M37491-99833
42.009132,-70.672056,Duxbury,MA,375 Marshall St,Chandler,,,https://www.realtor.com/realestateandhomes-detail/375-Marshall-St_Duxbury_MA_02332_M35708-82298
42.043348,-70.755638,Duxbury,MA,600 Summer St Apt 7,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/600-Summer-St-Apt-7_Duxbury_MA_02332_M42093-88031
42.027999,-70.701913,Duxbury,MA,106 Evergreen St,Chandler,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/106-Evergreen-St_Duxbury_MA_02332_M35410-69544
42.029278,-70.735178,Duxbury,MA,26 Winter St,Chandler,,Duxbury High School,https://www.realtor.com/realestateandhomes-detail/26-Winter-St_Duxbury_MA_02332_M44578-81889
42.024129,-70.749833,Duxbury,MA,90 Autumn Ave,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/90-Autumn-Ave_Duxbury_MA_02332_M46891-58700
42.032951,-70.686759,Duxbury,MA,265 Surplus St,Chandler/Alden,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/265-Surplus-St_Duxbury_MA_02332_M33761-67749
42.01037,-70.679703,Duxbury,MA,322 Standish St,Chandler/Alden,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/322-Standish-St_Duxbury_MA_02332_M42563-14779
42.021305,-70.757417,Duxbury,MA,28 Pine St,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/28-Pine-St_Duxbury_MA_02332_M44206-87331
42.044481,-70.653651,Duxbury,MA,341 King Caesar Rd,Chandler/Alden,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/341-King-Caesar-Rd_Duxbury_MA_02332_M40807-17658
42.089335,-70.739892,Duxbury,MA,45 North St,Chandler Elem,Duxbury Middle,Duxbury High School,https://www.realtor.com/realestateandhomes-detail/45-North-St_Duxbury_MA_02332_M42586-16341
42.011101,-70.722386,Duxbury,MA,70 Humphreys Ln Unit 70,Alden/Chandler,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/70-Humphreys-Ln_Duxbury_MA_02332_M47835-48778
42.007344,-70.720295,Duxbury,MA,100 Parks St Apt 16,Chandler,Alden,Aldenp,https://www.realtor.com/realestateandhomes-detail/100-Parks-St-Apt-16_Duxbury_MA_02332_M32495-75342
42.056963,-70.766022,Duxbury,MA,1000 Summer St,Chandler Elementary,Duxbury Middle School,Duxbury High School,https://www.realtor.com/realestateandhomes-detail/1000-Summer-St_Duxbury_MA_02332_M36341-59869
42.059666,-70.691961,Duxbury,MA,10 Enterprise St Ste 2,Chandler,Alden,Duxbury Hs,https://www.realtor.com/realestateandhomes-detail/10-Enterprise-St-Ste-2_Duxbury_MA_02332_M40419-23812
42.042471,-70.750766,Duxbury,MA,31 Delorenzo Dr,Chandler,,,https://www.realtor.com/realestateandhomes-detail/31-Delorenzo-Dr_Duxbury_MA_02332_M46158-19325
42.05244,-70.765509,Duxbury,MA,100 High St,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/100-High-St_Duxbury_MA_02332_M36402-34217
42.033733,-70.673142,Duxbury,MA,338 Washington St,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/338-Washington-St_Duxbury_MA_02332_M34471-59369
42.013207,-70.670872,Duxbury,MA,271 Marshall St,Chandler/ Alden,,,https://www.realtor.com/realestateandhomes-detail/271-Marshall-St_Duxbury_MA_02332_M34089-99044
42.090051,-70.742525,Duxbury,MA,78 North St,Chandler,,,https://www.realtor.com/realestateandhomes-detail/78-North-St_Duxbury_MA_02332_M46323-65404
42.042316,-70.67133,Duxbury,MA,561 Washington St,Chandler/Alden,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/561-Washington-St_Duxbury_MA_02332_M46745-68608
42.058826,-70.742216,Duxbury,MA,749 Franklin St,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/749-Franklin-St_Duxbury_MA_02332_M33977-72152
42.005603,-70.721135,Duxbury,MA,70 Parks St Apt 10,Chandler/Alden,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/70-Parks-St-Apt-10_Duxbury_MA_02332_M38313-99576
42.049191,-70.722227,Duxbury,MA,100 Lincoln St Apt 13,Chandler,Duxbury,Duxbury,https://www.realtor.com/realestateandhomes-detail/100-Lincoln-St-Apt-13_Duxbury_MA_02332_M30512-48838
42.014807,-70.705603,Duxbury,MA,29 Pilgrim Rd,Alden,,,https://www.realtor.com/realestateandhomes-detail/29-Pilgrim-Rd_Duxbury_MA_02332_M36249-37632
42.025391,-70.677282,Duxbury,MA,14 Wadsworth Ln,Chandler,,,https://www.realtor.com/realestateandhomes-detail/14-Wadsworth-Ln_Duxbury_MA_02332_M37085-47061
42.08819,-70.746421,Duxbury,MA,6 Old North St,Chandler,Duxbury,Duxbury,https://www.realtor.com/realestateandhomes-detail/6-Old-North-St_Duxbury_MA_02332_M46342-28701
42.050441,-70.696912,Duxbury,MA,1 Westford Farm Rd,Alden,,,https://www.realtor.com/realestateandhomes-detail/1-Westford-Farm-Rd_Duxbury_MA_02332_M40816-12040
42.013561,-70.675853,Duxbury,MA,251 Standish St,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/251-Standish-St_Duxbury_MA_02332_M37050-44063
42.047108,-70.660973,Duxbury,MA,205 Powder Point Ave,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/205-Powder-Point-Ave_Duxbury_MA_02332_M47821-15705
42.039271,-70.749591,Duxbury,MA,424 Summer St,Chandler/Alden,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/424-Summer-St_Duxbury_MA_02332_M42191-51707
42.078292,-70.760618,Duxbury,MA,1027 Union St,Chandler/ Alden,,,https://www.realtor.com/realestateandhomes-detail/1027-Union-St_Duxbury_MA_02332_M46062-79244
42.008771,-70.723707,Duxbury,MA,72 Tussock Brook Rd Unit 72,Chandler,Alden,Alden,https://www.realtor.com/realestateandhomes-detail/72-Tussock-Brook-Rd_Duxbury_MA_02332_M38653-53404
42.03169,-70.911631,East Bridgewater,MA,37 Forest Trl,,,Ebwhs,https://www.realtor.com/realestateandhomes-detail/37-Forest-Trl_East-Bridgewater_MA_02333_M39239-81475
42.03656,-70.956168,East Bridgewater,MA,40 Water St,Central,East Bridgewater,East Bridgewater,https://www.realtor.com/realestateandhomes-detail/40-Water-St_East-Bridgewater_MA_02333_M33354-99233
42.034126,-70.913423,East Bridgewater,MA,127 Leaf Ln,Central (K-2),Mitchell (3-6),Eb Jr/Sr (7-12),https://www.realtor.com/realestateandhomes-detail/127-Leaf-Ln_East-Bridgewater_MA_02333_M44911-40597
42.011203,-70.923934,East Bridgewater,MA,35 Sandra Dr,Central Elementary,Gordon Mitchell,Eb Jr/Sr Hs,https://www.realtor.com/realestateandhomes-detail/35-Sandra-Dr_East-Bridgewater_MA_02333_M48043-01536
42.019251,-70.947583,East Bridgewater,MA,421 Plymouth St,Central,Gordon Mitchell,Ebhs,https://www.realtor.com/realestateandhomes-detail/421-Plymouth-St_East-Bridgewater_MA_02333_M33634-11424
42.03178,-70.97333,East Bridgewater,MA,452 N Central St,Central Elementary,Gordon Mitchell,Eb Jr/Sr Hs,https://www.realtor.com/realestateandhomes-detail/452-N-Central-St_East-Bridgewater_MA_02333_M49591-66198
42.014354,-70.931329,East Bridgewater,MA,876 Plymouth St,Central,Mitchell,East Bridgewater,https://www.realtor.com/realestateandhomes-detail/876-Plymouth-St_East-Bridgewater_MA_02333_M42853-07682
42.041564,-70.936706,East Bridgewater,MA,74 Anna Dr,Central,Gordon W Mitchell,Ebhs,https://www.realtor.com/realestateandhomes-detail/74-Anna-Dr_East-Bridgewater_MA_02333_M30950-55000
42.009841,-70.921522,East Bridgewater,MA,94 Pond St,Central Elem.,,East Bridge Hig,https://www.realtor.com/realestateandhomes-detail/94-Pond-St_East-Bridgewater_MA_02333_M49831-42200
42.051783,-70.952188,East Bridgewater,MA,30 Highland St,Central School,Gordon W. Mitchell,Eb Jr/Sr High School,https://www.realtor.com/realestateandhomes-detail/30-Highland-St_East-Bridgewater_MA_02333_M32498-91843
42.033232,-70.962898,East Bridgewater,MA,16 Pearl St,Central Elementary School,East Bridgewater Jr/Senior,East Bridgewater Jr/Senior,https://www.realtor.com/realestateandhomes-detail/16-Pearl-St_East-Bridgewater_MA_02333_M45810-12935
42.032272,-70.976152,East Bridgewater,MA,505 N Central St,Central Elementary,East Bridgewater,East Bridgewater,https://www.realtor.com/realestateandhomes-detail/505-N-Central-St_East-Bridgewater_MA_02333_M30112-81161
42.029086,-70.963374,East Bridgewater,MA,157 Spring St,Central,E Bridgewater,E Bridgewater,https://www.realtor.com/realestateandhomes-detail/157-Spring-St_East-Bridgewater_MA_02333_M34122-31338
42.063573,-70.928413,East Bridgewater,MA,101 Washington St Apt 4,Gordon Mitchell,East Bridgewater High,East Bridgewater High,https://www.realtor.com/realestateandhomes-detail/101-Washington-St-Apt-4_East-Bridgewater_MA_02333_M44276-79446
42.012822,-70.930023,East Bridgewater,MA,10 Eliab Latham Way,Central,Mitchell,East Bridgewater Hs,https://www.realtor.com/realestateandhomes-detail/10-Eliab-Latham-Way_East-Bridgewater_MA_02333_M49500-57564
42.013301,-70.920247,East Bridgewater,MA,71 Stonegate Dr,Central,Gordon Mitchell,Eb High School,https://www.realtor.com/realestateandhomes-detail/71-Stonegate-Dr_East-Bridgewater_MA_02333_M44288-61685
42.026012,-70.935201,East Bridgewater,MA,182 Crystal Water Dr Unit 182,,,Eb High School,https://www.realtor.com/realestateandhomes-detail/182-Crystal-Water-Dr_East-Bridgewater_MA_02333_M48284-02176
42.013208,-70.944455,East Bridgewater,MA,121 South St,Central Elementary,Gordon W. Mitchell,Eb Jr/Sr High School,https://www.realtor.com/realestateandhomes-detail/121-South-St_East-Bridgewater_MA_02333_M49685-41471
